"priority_rank","ignore_rank","warehouse","category","priority_score","completed_stays","historical_long_stays","historical_long_stay_rate_pct","open_stays","open_long_stays","open_long_stay_rate_pct","max_open_dwell_hours"
NULL,1,"nohar","Ignore",0.00,0,0,0.00,1,0,0.00,36.88
NULL,1,"nohar, nohar, rajasthan","Ignore",0.00,0,0,0.00,1,0,0.00,14.78
NULL,1,"noharbadharamdh_noh","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"nohira stores tirupati","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"noida hub","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"noida hub delhi","Ignore",0.00,15,0,0.00,0,0,0.00,0.00
NULL,1,"noida khoda center","Ignore",0.00,5,0,0.00,1,0,0.00,14.78
NULL,1,"noida phase ii etail","Ignore",0.00,11,0,0.00,2,0,0.00,15.80
NULL,1,"noida sector 16","Ignore",0.00,6,0,0.00,0,0,0.00,0.00
NULL,1,"noida sector 63","Ignore",0.00,26,0,0.00,0,0,0.00,0.00
NULL,1,"noida, delhi ncr, delhi","Ignore",0.00,16,0,0.00,4,0,0.00,29.07
NULL,1,"noida, uttar pradesh, in","Ignore",0.00,2,0,0.00,6,0,0.00,15.66
NULL,1,"noida/grc, delhi ncr, delhi","Ignore",0.00,0,0,0.00,1,0,0.00,15.97
NULL,1,"noida/mra, delhi ncr, delhi","Ignore",0.00,4,0,0.00,2,0,0.00,38.55
NULL,1,"noida/pal, delhi ncr, delhi","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"noidakhorahub_del new delhi","Ignore",0.00,8,0,0.00,0,0,0.00,0.00
NULL,1,"nokha","Ignore",0.00,0,0,0.00,1,0,0.00,14.53
NULL,1,"noonmatihub_gau guwahati","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"north goa, goa, in","Ignore",0.00,0,0,0.00,3,0,0.00,18.83
NULL,1,"north paravur","Ignore",0.00,3,0,0.00,0,0,0.00,0.00
NULL,1,"nose 2 toes kozhikode","Ignore",0.00,4,0,0.00,0,0,0.00,0.00
NULL,1,"nowrozabad","Ignore",0.00,0,0,0.00,1,0,0.00,14.51
NULL,1,"nowrozabadmdh_nwr nowrozabad","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"nsk hub, nashik, maharashtra","Ignore",0.00,55,0,0.00,1,0,0.00,14.43
NULL,1,"nsk/cidko, nashik, maharashtra","Ignore",0.00,1,0,0.00,1,0,0.00,15.21
NULL,1,"nskh","Ignore",0.00,6,0,0.00,1,0,0.00,35.82
NULL,1,"nuzividu","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"nuzividuhub_nzv nuzividu","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"odhav","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"ojhar","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"ojharodh_nsk ojhar","Ignore",0.00,1,0,0.00,1,0,0.00,14.32
NULL,1,"okhla hub","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"okhla hub delhi","Ignore",0.00,8,0,0.00,0,0,0.00,0.00
NULL,1,"oldfaridabadhub_del","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"oldfaridabadhub_del ballabhgarh","Ignore",0.00,11,0,0.00,0,0,0.00,0.00
NULL,1,"oldtownhub_bbi bhubaneswar","Ignore",0.00,3,0,0.00,0,0,0.00,0.00
NULL,1,"ollurhub_tcr thrissur","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"om prakash home bokaro","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"om sai store ahmedabad","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"om store new delhi","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"omkar enterprizes beed","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"on the way express kirana mahabub nagar","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"ongole","Ignore",0.00,3,0,0.00,0,0,0.00,0.00
NULL,1,"ongole, andhra pradesh, in","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"ongolehub_ong","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"ongolehub_ong ongole","Ignore",0.00,3,0,0.00,0,0,0.00,0.00
NULL,1,"ooty","Ignore",0.00,8,0,0.00,4,0,0.00,30.46
NULL,1,"ooty hub","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"ooty hub ooty","Ignore",0.00,7,0,0.00,0,0,0.00,0.00
NULL,1,"oragaramhub_chn chennai","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"orai2, orai, uttar pradesh","Ignore",0.00,0,0,0.00,1,0,0.00,14.70
NULL,1,"orangmdh_org","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"orangmdh_org orang","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"osmanabad","Ignore",0.00,2,0,0.00,1,0,0.00,16.43
NULL,1,"osmanabadhub_omb osmanabad","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"ottanchatramhub_otc","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"ottanchatramhub_otc dindigul","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"outer-ludhiana","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"ozhar mig, ozhar, maharashtra","Ignore",0.00,0,0,0.00,1,0,0.00,14.33
NULL,1,"p xerox hosanagara","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"pachora","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"pachorahub_mch pachora","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"padagha","Ignore",0.00,9,0,0.00,0,0,0.00,0.00
NULL,1,"padampur","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"padmanabhnagarhub_blr","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"padmanabhnagarhub_blr bengaluru","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"padmolochan das bhubaneswar","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"padrauna, kushinagar, uttar pradesh","Ignore",0.00,0,0,0.00,1,0,0.00,15.01
NULL,1,"paharganjhub_del","Ignore",0.00,6,0,0.00,0,0,0.00,0.00
NULL,1,"paharganjhub_del delhi","Ignore",0.00,12,0,0.00,0,0,0.00,0.00
NULL,1,"paikamalnewmdh_brg bargarh","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"pakala","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"pakhanjurmdh_pkh pakhanjur","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"pakwada","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"pakwadamdh_pkw pakwada","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"pala","Ignore",0.00,8,0,0.00,0,0,0.00,0.00
NULL,1,"pala hub","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"pala hub pala","Ignore",0.00,3,0,0.00,3,0,0.00,15.07
NULL,1,"palacecityhub_mys mysore","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"palacode","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"palacodehub_dmp","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"palacodehub_dmp palacode","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"palakkad","Ignore",0.00,8,0,0.00,1,0,0.00,20.50
NULL,1,"palakkad hub palakkad","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"palakkad, palakkad, kerala","Ignore",0.00,11,0,0.00,2,0,0.00,28.91
NULL,1,"palakollu","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"palam service centre","Ignore",0.00,0,0,0.00,6,0,0.00,16.30
NULL,1,"palampur, palampur, himachal pradesh","Ignore",0.00,4,0,0.00,3,0,0.00,14.49
NULL,1,"palampurhub_plp","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"palampurhub_plp palampur","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"palani andavar karur","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"palani, tamil nadu, in","Ignore",0.00,0,0,0.00,1,0,0.00,14.55
NULL,1,"palanihub_pln dindigul","Ignore",0.00,0,0,0.00,2,0,0.00,14.88
NULL,1,"palanpur","Ignore",0.00,5,0,0.00,0,0,0.00,0.00
NULL,1,"palanpur1, palanpur, gujarat","Ignore",0.00,12,0,0.00,6,0,0.00,37.62
NULL,1,"palanpurhub_pln","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"palanpurhub_pln palanpur","Ignore",0.00,5,0,0.00,0,0,0.00,0.00
NULL,1,"palasia service centre","Ignore",0.00,34,0,0.00,9,0,0.00,34.45
NULL,1,"palghar","Ignore",0.00,6,0,0.00,0,0,0.00,0.00
NULL,1,"palghat","Ignore",0.00,4,0,0.00,4,0,0.00,19.97
NULL,1,"pali","Ignore",0.00,1,0,0.00,1,0,0.00,25.68
NULL,1,"palibirsinghmdh_plb palibirsingh","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"palimdh_sjh pali","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"palladam","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"palladamhub_pam palladam","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"pallipalayam hub","Ignore",0.00,3,0,0.00,0,0,0.00,0.00
NULL,1,"pallipalayam hub erode","Ignore",0.00,7,0,0.00,1,0,0.00,16.20
NULL,1,"palluruthyhub_prt edakochi","Ignore",0.00,4,0,0.00,0,0,0.00,0.00
NULL,1,"palsana","Ignore",0.00,0,0,0.00,3,0,0.00,37.03
NULL,1,"palus, palus, maharashtra","Ignore",0.00,0,0,0.00,1,0,0.00,14.28
NULL,1,"palwal, palwal, haryana","Ignore",0.00,0,0,0.00,3,0,0.00,14.81
NULL,1,"palwalhub_plw palwal","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"panayikkulamhub_pnk","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"panayikkulamhub_pnk varapuzha","Ignore",0.00,6,0,0.00,0,0,0.00,0.00
NULL,1,"panchanan ghosh burdwan","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"panchavati etail","Ignore",0.00,8,0,0.00,0,0,0.00,0.00
NULL,1,"panchavatihub_nsk","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"panchgani, maharashtra, in","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"panchkula","Ignore",0.00,26,0,0.00,3,0,0.00,31.60
NULL,1,"panchkula - pan","Ignore",0.00,0,0,0.00,1,0,0.00,15.67
NULL,1,"panchkula hub","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"panchkula hub panchkula","Ignore",0.00,6,0,0.00,0,0,0.00,0.00
NULL,1,"panchkula, haryana, in","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"panchkula, panchkula, chandigarh","Ignore",0.00,0,0,0.00,4,0,0.00,14.63
NULL,1,"panchkulasec20hub_pkl","Ignore",0.00,1,0,0.00,1,0,0.00,16.41
NULL,1,"panchkulasec20hub_pkl panchkula","Ignore",0.00,6,0,0.00,0,0,0.00,0.00
NULL,1,"panchlaodh_ulb howrah","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"pandalam, pandalam, kerala","Ignore",0.00,1,0,0.00,1,0,0.00,38.21
NULL,1,"pandharkawda","Ignore",0.00,2,0,0.00,1,0,0.00,29.22
NULL,1,"pandharkawdaodh_pkw","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"pandharkawdaodh_pkw pandharkawda","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"pandharpur","Ignore",0.00,4,0,0.00,0,0,0.00,0.00
NULL,1,"pandharpurhub_pdh","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"pandharpurhub_pdh pandharpur","Ignore",0.00,3,0,0.00,0,0,0.00,0.00
NULL,1,"panduamdh_mgr mogra","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"panipat","Ignore",0.00,7,0,0.00,3,0,0.00,21.90
NULL,1,"panipat etail centre","Ignore",0.00,12,0,0.00,4,0,0.00,15.20
NULL,1,"panipat hub panipat","Ignore",0.00,3,0,0.00,0,0,0.00,0.00
NULL,1,"panipat, panipat, haryana","Ignore",0.00,0,0,0.00,1,0,0.00,15.31
NULL,1,"panjim hub panjim","Ignore",0.00,3,0,0.00,0,0,0.00,0.00
NULL,1,"pankaj kirana satara","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"pankaj store nagpur","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"pankaj store new delhi","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"panna","Ignore",0.00,4,0,0.00,1,0,0.00,14.19
NULL,1,"panrutihub_pnr panruti","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"panvel hub mumbai","Ignore",0.00,9,0,0.00,0,0,0.00,0.00
NULL,1,"paonta sahib","Ignore",0.00,2,0,0.00,1,0,0.00,35.02
NULL,1,"paontasahibhub_pao","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"paontasahibhub_pao paonta sahib","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"paota","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"paotamdh_pao paota","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"papu singh myntra kirana store moradabad","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"papum pare, arunachal pradesh, in","Ignore",0.00,0,0,0.00,1,0,0.00,35.06
NULL,1,"paradip","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"paradiphub_pdp paradip","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"paramakudi","Ignore",0.00,0,0,0.00,1,0,0.00,14.72
NULL,1,"paramathi velur","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"paratwadda, paratwadda, maharashtra","Ignore",0.00,0,0,0.00,1,0,0.00,14.36
NULL,1,"parbhani","Ignore",0.00,4,0,0.00,3,0,0.00,28.63
NULL,1,"parbhani, parbhani, maharashtra","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"parbhanihub_pbn parbhani","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"pardiodh_nag","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"pardiodh_nag nagpur","Ignore",0.00,5,0,0.00,0,0,0.00,0.00
NULL,1,"pari new delhi","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"parimal garden e-tail","Ignore",0.00,10,0,0.00,17,0,0.00,31.50
NULL,1,"parippally","Ignore",0.00,2,0,0.00,1,0,0.00,23.90
NULL,1,"parippallyhub_qln parippally","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"parli vaijinath","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"parlivaijinathhub_pvj parli vaijinath","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"parmar dhirenkumar kanubhai nadiad","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"parsabadmdh_psb parsabad","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"parse hi parde hamirpur","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"partapur, partapur, rajasthan","Ignore",0.00,0,0,0.00,1,0,0.00,14.89
NULL,1,"parvathipuram","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"parvathipuramhub_ppm","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"parvathipuramhub_ppm parvathipuram","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"parvatpatiya hub surat","Ignore",0.00,12,0,0.00,0,0,0.00,0.00
NULL,1,"parveen shop hisar","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"parwanoo","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"parwanoomdh_prw parwanoo","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"paschim vihar","Ignore",0.00,56,0,0.00,0,0,0.00,0.00
NULL,1,"pashanodh_pune","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"pashanodh_pune pune","Ignore",0.00,2,0,0.00,2,0,0.00,14.41
NULL,1,"pashupati junagadh","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"paskura","Ignore",0.00,0,0,0.00,6,0,0.00,15.87
NULL,1,"pat/city, patna, bihar","Ignore",0.00,0,0,0.00,2,0,0.00,16.14
NULL,1,"pat/cnt, patna, bihar","Ignore",0.00,1,0,0.00,1,0,0.00,15.88
NULL,1,"pat/dnp-tml, patna, bihar","Ignore",0.00,0,0,0.00,1,0,0.00,15.70
NULL,1,"pat/hub, patna, bihar","Ignore",0.00,154,0,0.00,0,0,0.00,0.00
NULL,1,"patalganga","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"patalganga hub","Ignore",0.00,75,0,0.00,0,0,0.00,0.00
NULL,1,"patan","Ignore",0.00,3,0,0.00,1,0,0.00,26.38
NULL,1,"patan cg","Ignore",0.00,0,0,0.00,1,0,0.00,28.05
NULL,1,"patan, patan, gujarat","Ignore",0.00,0,0,0.00,2,0,0.00,15.11
NULL,1,"patancheruvuhub_hyd hyderabad","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"patel general store lucknow","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"patel kirana store lucknow","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"patencheru","Ignore",0.00,0,0,0.00,5,0,0.00,15.77
NULL,1,"pathalgaon","Ignore",0.00,1,0,0.00,1,0,0.00,30.07
NULL,1,"pathan store mumbai","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"pathanamthitta","Ignore",0.00,5,0,0.00,0,0,0.00,0.00
NULL,1,"pathanamthittahub_pmt","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"pathanamthittahub_pmt pathanamthitta","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"pathanapuramhub_prm kurishum mood","Ignore",0.00,1,0,0.00,1,0,0.00,14.89
NULL,1,"pathania infotech una","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"pathankot","Ignore",0.00,8,0,0.00,0,0,0.00,0.00
NULL,1,"pathankot counter","Ignore",0.00,11,0,0.00,0,0,0.00,0.00
NULL,1,"pathankot, pathankot, punjab","Ignore",0.00,76,0,0.00,15,0,0.00,40.04
NULL,1,"pathankothub_pht","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"pathankothub_pht pathankot","Ignore",0.00,4,0,0.00,0,0,0.00,0.00
NULL,1,"pathardimdh_pat ahmednagar","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"patharkandi","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"pathsala","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"pathsalahub_pbl pathsala","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"patiala hub patiala","Ignore",0.00,21,0,0.00,0,0,0.00,0.00
NULL,1,"patiala, patiala, punjab","Ignore",0.00,3,0,0.00,6,0,0.00,38.66
NULL,1,"patialahubtemp_pta patiala","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"patil mobile shopy amanapur sangli","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"patlikuhal, patlikuhal, himachal pradesh","Ignore",0.00,0,0,0.00,1,0,0.00,31.20
NULL,1,"patna anisabad pud","Ignore",0.00,7,0,0.00,4,0,0.00,38.40
NULL,1,"patna etail da","Ignore",0.00,0,0,0.00,1,0,0.00,16.35
NULL,1,"patna etail pud","Ignore",0.00,4,0,0.00,4,0,0.00,16.15
NULL,1,"patna ground hub","Ignore",0.00,4,0,0.00,0,0,0.00,0.00
NULL,1,"patna, bihar, in","Ignore",0.00,13,0,0.00,1,0,0.00,23.06
NULL,1,"patran, patran, punjab","Ignore",0.00,0,0,0.00,1,0,0.00,37.90
NULL,1,"patratu, patratu, jharkhand","Ignore",0.00,0,0,0.00,1,0,0.00,15.82
NULL,1,"pattambi","Ignore",0.00,6,0,0.00,1,0,0.00,21.45
NULL,1,"pattanmdh_ptn baramulla","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"patti","Ignore",0.00,5,0,0.00,0,0,0.00,0.00
NULL,1,"pattimattom","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"pattiodh_ptt patti","Ignore",0.00,5,0,0.00,0,0,0.00,0.00
NULL,1,"pattomhub_trv trivandrum","Ignore",0.00,16,0,0.00,0,0,0.00,0.00
NULL,1,"pattukkotaihub_ptt pattukkottai","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"pattukkottai","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"pauniodh_pau","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"pauniodh_pau adyal","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"pavagada","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"pavan apspqrs","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"pavgadahub_pvg pavagada","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"pawan myntra store pune","Ignore",0.00,3,0,0.00,0,0,0.00,0.00
NULL,1,"pawan store new delhi","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"payyanur","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"payyoli","Ignore",0.00,3,0,0.00,0,0,0.00,0.00
NULL,1,"pck/bhilwara, bhilwara, rajasthan","Ignore",0.00,10,0,0.00,0,0,0.00,0.00
NULL,1,"pck/hissar, hissar, haryana","Ignore",0.00,29,0,0.00,1,0,0.00,14.55
NULL,1,"pck/mdk, new delhi, delhi","Ignore",0.00,14,0,0.00,0,0,0.00,0.00
NULL,1,"pcm/hub, pune, maharashtra","Ignore",0.00,35,0,0.00,0,0,0.00,0.00
NULL,1,"pdy/agaram, villupuram, tamil nadu","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"pdy/sa-wtt, pondicherry, tamil nadu","Ignore",0.00,4,0,0.00,0,0,0.00,0.00
NULL,1,"pecharthal","Ignore",0.00,0,0,0.00,2,0,0.00,15.20
NULL,1,"peddapally","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"peddapallymdh_ped peddapally","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"peddapuram","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"peelamedu hub","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"peelamedu hub coimbatore","Ignore",0.00,7,0,0.00,1,0,0.00,14.34
NULL,1,"peenya","Ignore",0.00,74,0,0.00,6,0,0.00,16.38
NULL,1,"peenya counter","Ignore",0.00,0,0,0.00,2,0,0.00,37.48
NULL,1,"peenya hub bengaluru","Ignore",0.00,3,0,0.00,0,0,0.00,0.00
NULL,1,"peeragarhi hub","Ignore",0.00,4,0,0.00,0,0,0.00,0.00
NULL,1,"peeragarhi hub delhi","Ignore",0.00,20,0,0.00,2,0,0.00,15.23
NULL,1,"pehowa","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"pehowahub_peh pehowa","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"pen","Ignore",0.00,1,0,0.00,1,0,0.00,14.75
NULL,1,"pendiyalodh_wgl warangal","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"pendurthi","Ignore",0.00,0,0,0.00,2,0,0.00,16.40
NULL,1,"pendurti","Ignore",0.00,0,0,0.00,1,0,0.00,20.13
NULL,1,"pennabetamcherlaodh_btm kurnool","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"pennadarsiodh_drs darsi","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"pennakanigiriodh_kgr","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"pennakanigiriodh_kgr kanigiri","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"penukonda","Ignore",0.00,1,0,0.00,1,0,0.00,18.34
NULL,1,"penukondamdh_pen penukonda","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"peoplescampushub_bho","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"peoplescampushub_bho madhya pradesh","Ignore",0.00,6,0,0.00,0,0,0.00,0.00
NULL,1,"perambalur","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"perambalurhub_plr perambalur","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"perambur","Ignore",0.00,28,0,0.00,2,0,0.00,31.35
NULL,1,"peravalli, peravalli, andhra pradesh","Ignore",0.00,0,0,0.00,1,0,0.00,20.03
NULL,1,"perinthalmanna","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"perinthalmanna, malappuram, kerala","Ignore",0.00,0,0,0.00,2,0,0.00,14.77
NULL,1,"pernem","Ignore",0.00,0,0,0.00,1,0,0.00,15.28
NULL,1,"perumbavoor, kerala, in","Ignore",0.00,0,0,0.00,1,0,0.00,19.61
NULL,1,"perundurai","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"petlad","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"petta_pea","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
NULL,1,"petta_pea trivandrum","Ignore",0.00,5,0,0.00,0,0,0.00,0.00
NULL,1,"peyad","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"pgihub_lko","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"pgihub_lko lucknow","Ignore",0.00,8,0,0.00,0,0,0.00,0.00
NULL,1,"phagwara","Ignore",0.00,30,0,0.00,6,0,0.00,19.35
NULL,1,"phagwara, phagwara, punjab","Ignore",0.00,0,0,0.00,2,0,0.00,39.52
NULL,1,"phagwarahub_mitr_lpu phagwara","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
NULL,1,"phagwarahub_pgr phagwara","Ignore",0.00,5,0,0.00,0,0,0.00,0.00
NULL,1,"phalodi","Ignore",0.00,0,0,0.00,1,0,0.00,15.23
NULL,1,"phalodi, phalodi, rajasthan","Ignore",0.00,0,0,0.00,1,0,0.00,29.19
NULL,1,"phaltan","Ignore",0.00,0,0,0.00,2,0,0.00,14.52
NULL,1,"pharenda","Ignore",0.00,1,0,0.00,0,0,0.00,0.00
