"priority_rank","ignore_rank","warehouse","category","priority_score","completed_stays","historical_long_stays","historical_long_stay_rate_pct","open_stays","open_long_stays","open_long_stay_rate_pct","max_open_dwell_hours"
143,NULL,"bom/chb, mumbai, maharashtra","Prioritize for Clearing",1.53,40,3,7.50,3,0,0.00,32.45
144,NULL,"makroniya mp, makroniya, madhya pradesh","Prioritize for Clearing",1.52,63,4,6.35,9,1,11.11,61.77
144,NULL,"ngp/ghr, nagpur, maharashtra","Prioritize for Clearing",1.52,727,41,5.64,2,0,0.00,16.40
144,NULL,"nbm/ghn, navi mumbai, maharashtra","Prioritize for Clearing",1.52,1371,63,4.60,0,0,0.00,0.00
147,NULL,"spet","Prioritize for Clearing",1.50,27,2,7.41,11,0,0.00,16.21
148,NULL,"fatehabad hr, fatehabad hr, haryana","Prioritize for Clearing",1.48,114,8,7.02,1,0,0.00,39.93
149,NULL,"del/apt, delhi ncr, delhi","Prioritize for Clearing",1.42,73,5,6.85,2,0,0.00,18.80
150,NULL,"htcy","Prioritize for Clearing",1.40,29,2,6.90,29,0,0.00,33.31
151,NULL,"amritsar","Prioritize for Clearing",1.38,43,2,4.65,14,2,14.29,76.09
152,NULL,"baner service centre","Prioritize for Clearing",1.35,30,2,6.67,0,0,0.00,0.00
153,NULL,"bom/bdp, mumbai, maharashtra","Prioritize for Clearing",1.31,31,2,6.45,3,0,0.00,15.70
154,NULL,"hadapsar service centre","Prioritize for Clearing",1.30,516,27,5.23,0,0,0.00,0.00
154,NULL,"nelamangala","Prioritize for Clearing",1.30,57,3,5.26,5,1,20.00,52.92
156,NULL,"rto/mat, bangalore, karnataka","Prioritize for Clearing",1.29,150,9,6.00,0,0,0.00,0.00
156,NULL,"ixs/hub, silchar, assam","Prioritize for Clearing",1.29,38,2,5.26,3,1,33.33,58.44
158,NULL,"edlc","Prioritize for Clearing",1.22,20,1,5.00,11,1,9.09,61.32
159,NULL,"bareily choki choraha","Prioritize for Clearing",1.13,36,2,5.56,14,0,0.00,37.37
160,NULL,"cjbh","Prioritize for Clearing",1.11,265,13,4.91,2,0,0.00,25.79
160,NULL,"pck/fbd, delhi ncr, delhi","Prioritize for Clearing",1.11,218,11,5.05,0,0,0.00,0.00
162,NULL,"sxr/hum, srinagar, jammu and kashmir","Prioritize for Clearing",1.10,75,4,5.33,0,0,0.00,0.00
163,NULL,"unnao, uttar pradesh, in","Prioritize for Clearing",1.09,76,4,5.26,3,0,0.00,49.33
164,NULL,"bsgd","Prioritize for Clearing",1.05,59,3,5.08,6,0,0.00,33.63
165,NULL,"nag","Prioritize for Clearing",1.04,39,2,5.13,0,0,0.00,0.00
166,NULL,"dhankawadi hub pune","Prioritize for Clearing",1.01,20,1,5.00,0,0,0.00,0.00
167,NULL,"kota, kota, rajasthan","Prioritize for Clearing",0.96,21,1,4.76,7,0,0.00,19.12
NULL,1,"siticsaraniodh_arn sevoor","Ignore",0.00,2,0,0.00,0,0,0.00,0.00
